epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533086049,2020-06-19T12.18.06.049,6.491,-0.000140438,-0.000206625,-0.000178188
1592533086090,2020-06-19T12.18.06.090,6.532,-0.000142625,-0.000207000,-0.000178188
1592533086130,2020-06-19T12.18.06.130,6.572,-0.000139750,-0.000207375,-0.000187313
1592533086171,2020-06-19T12.18.06.171,6.613,-0.000138625,-0.000208438,-0.000207938
1592533086210,2020-06-19T12.18.06.210,6.652,-0.000137563,-0.000201938,-0.000233813
1592533086251,2020-06-19T12.18.06.251,6.693,-0.000135063,-0.000192500,-0.000258750
1592533086291,2020-06-19T12.18.06.291,6.733,-0.000132125,-0.000183125,-0.000273625
1592533086332,2020-06-19T12.18.06.332,6.774,-0.000130688,-0.000179875,-0.000275875
1592533086371,2020-06-19T12.18.06.371,6.813,-0.000131438,-0.000182750,-0.000272000
1592533086412,2020-06-19T12.18.06.412,6.854,-0.000130313,-0.000183125,-0.000271250
1592533086452,2020-06-19T12.18.06.452,6.894,-0.000129250,-0.000182000,-0.000272063
1592533086493,2020-06-19T12.18.06.493,6.935,-0.000128500,-0.000182375,-0.000276563
1592533086532,2020-06-19T12.18.06.532,6.974,-0.000127438,-0.000179875,-0.000286125
1592533086573,2020-06-19T12.18.06.573,7.015,-0.000128125,-0.000172938,-0.000296438
1592533086613,2020-06-19T12.18.06.613,7.055,-0.000129625,-0.000174063,-0.000294625
1592533086654,2020-06-19T12.18.06.654,7.096,-0.000127063,-0.000174813,-0.000294250
1592533086694,2020-06-19T12.18.06.694,7.136,-0.000128188,-0.000178063,-0.000295750
1592533086735,2020-06-19T12.18.06.735,7.177,-0.000129250,-0.000177688,-0.000298313
1592533086774,2020-06-19T12.18.06.774,7.216,-0.000127438,-0.000175875,-0.000298438
1592533086815,2020-06-19T12.18.06.815,7.257,-0.000129625,-0.000174813,-0.000297313
1592533086855,2020-06-19T12.18.06.855,7.297,-0.000131438,-0.000176250,-0.000296500
